game_id,season,week,game_date,posteam,defteam,qtr,yardline_100,ydstogo,game_seconds_remaining,score_differential,wp,kick_distance,inside_twenty,blocked,touchback,return_yards,punter_player_id,punter_player_name,epa,play_id
2016_01_CHI_HOU,2016,1,2016-09-11,CHI,HOU,4.0,76.0,12.0,296.0,-9.0,0.03626111,44.0,false,false,false,7.0,00-0031079,P.O'Donnell,0.4150513,3578.0
2016_01_CHI_HOU,2016,1,2016-09-11,HOU,CHI,4.0,56.0,7.0,126.0,9.0,0.98268914,35.0,false,false,false,0.0,00-0019714,S.Lechler,-0.44944385,3817.0
2016_01_CIN_NYJ,2016,1,2016-09-11,CIN,NYJ,1.0,72.0,7.0,3462.0,0.0,0.34329668,58.0,false,false,false,8.0,00-0027103,K.Huber,0.7885972,161.0
2016_01_CIN_NYJ,2016,1,2016-09-11,NYJ,CIN,2.0,61.0,15.0,2626.0,4.0,0.6875937,54.0,false,false,false,15.0,00-0032449,L.Edwards,0.23757266,1139.0
2016_01_CIN_NYJ,2016,1,2016-09-11,CIN,NYJ,2.0,85.0,20.0,2288.0,-3.0,0.2446484,30.0,false,false,false,0.0,00-0027103,K.Huber,-0.3688943,1554.0
2016_01_CIN_NYJ,2016,1,2016-09-11,NYJ,CIN,3.0,77.0,9.0,1620.0,3.0,0.5989875,47.0,false,false,false,6.0,00-0032449,L.Edwards,0.10616655,2386.0
2016_01_CIN_NYJ,2016,1,2016-09-11,CIN,NYJ,3.0,69.0,15.0,1507.0,-3.0,0.2740607,56.0,true,false,false,3.0,00-0027103,K.Huber,0.8661312,2499.0
2016_01_CIN_NYJ,2016,1,2016-09-11,NYJ,CIN,3.0,61.0,4.0,1346.0,3.0,0.6607094,53.0,true,false,false,0.0,00-0032449,L.Edwards,0.81764185,2645.0
2016_01_CLE_PHI,2016,1,2016-09-11,CLE,PHI,1.0,70.0,5.0,3224.0,-7.0,0.25055182,49.0,false,false,false,5.0,00-0026516,B.Colquitt,-0.05704469,387.0
2016_01_CLE_PHI,2016,1,2016-09-11,PHI,CLE,1.0,67.0,12.0,3085.0,7.0,0.71666557,67.0,false,false,true,0.0,00-0022684,D.Jones,0.5630138,576.0
2016_01_CLE_PHI,2016,1,2016-09-11,CLE,PHI,1.0,77.0,7.0,2970.0,-7.0,0.2522953,59.0,false,false,false,40.0,00-0026516,B.Colquitt,-1.2530506,666.0
2016_01_CLE_PHI,2016,1,2016-09-11,PHI,CLE,2.0,72.0,5.0,2263.0,3.0,0.5717904,72.0,false,false,true,0.0,00-0022684,D.Jones,0.05586956,1380.0
2016_01_CLE_PHI,2016,1,2016-09-11,PHI,CLE,3.0,52.0,10.0,1562.0,3.0,0.664822,37.0,true,false,false,0.0,00-0022684,D.Jones,0.061751142,2317.0
2016_01_CLE_PHI,2016,1,2016-09-11,CLE,PHI,3.0,57.0,2.0,1114.0,-12.0,0.084797576,42.0,false,false,false,6.0,00-0026516,B.Colquitt,-0.2648192,2731.0
2016_01_CLE_PHI,2016,1,2016-09-11,PHI,CLE,4.0,43.0,14.0,900.0,12.0,0.9064524,42.0,true,false,false,0.0,00-0022684,D.Jones,1.0716611,2914.0
2016_01_CLE_PHI,2016,1,2016-09-11,CLE,PHI,4.0,96.0,7.0,836.0,-12.0,0.033074845,43.0,false,false,false,0.0,00-0026516,B.Colquitt,-0.13436182,3001.0
2016_01_CLE_PHI,2016,1,2016-09-11,PHI,CLE,4.0,45.0,8.0,701.0,12.0,0.9374703,45.0,false,false,true,0.0,00-0022684,D.Jones,-0.6625891,3118.0
2016_01_CLE_PHI,2016,1,2016-09-11,CLE,PHI,4.0,79.0,9.0,608.0,-12.0,0.027487505,58.0,false,false,false,8.0,00-0026516,B.Colquitt,0.1578906,3201.0
2016_01_CLE_PHI,2016,1,2016-09-11,PHI,CLE,4.0,40.0,16.0,275.0,12.0,0.98632413,32.0,true,false,false,0.0,00-0022684,D.Jones,-0.34373748,3496.0
2016_01_DET_IND,2016,1,2016-09-11,IND,DET,1.0,48.0,12.0,3256.0,0.0,0.48689947,48.0,false,false,true,0.0,00-0027145,P.McAfee,-0.48681912,265.0
2016_01_DET_IND,2016,1,2016-09-11,IND,DET,1.0,73.0,8.0,2898.0,-7.0,0.26193902,52.0,false,false,false,-1.0,00-0027145,P.McAfee,0.7038583,599.0
2016_01_DET_IND,2016,1,2016-09-11,DET,IND,1.0,76.0,6.0,2820.0,7.0,0.66320646,57.0,false,false,false,4.0,00-0030092,S.Martin,0.723114,692.0
2016_01_DET_IND,2016,1,2016-09-11,IND,DET,1.0,75.0,8.0,2779.0,-7.0,0.25875166,47.0,false,false,false,0.0,00-0027145,P.McAfee,0.9385894,783.0
2016_01_DET_IND,2016,1,2016-09-11,DET,IND,3.0,71.0,6.0,1668.0,11.0,0.8209961,56.0,true,false,false,0.0,00-0030092,S.Martin,0.73802274,2156.0
2016_01_DET_IND,2016,1,2016-09-11,DET,IND,3.0,88.0,17.0,1297.0,3.0,0.5116771,59.0,false,false,false,9.0,00-0030092,S.Martin,0.52118945,2531.0
2016_01_DET_IND,2016,1,2016-09-11,IND,DET,3.0,62.0,10.0,1265.0,-3.0,0.3750897,48.0,true,false,false,0.0,00-0027145,P.McAfee,-0.5221386,2624.0
2016_01_DET_IND,2016,1,2016-09-11,DET,IND,4.0,69.0,4.0,768.0,7.0,0.7455997,63.0,true,false,false,0.0,00-0030092,S.Martin,0.93467134,3229.0
2016_01_GB_JAX,2016,1,2016-09-11,JAX,GB,1.0,61.0,12.0,3066.0,-7.0,0.35843423,58.0,true,false,false,0.0,00-0029304,B.Nortman,1.4133978,622.0
2016_01_GB_JAX,2016,1,2016-09-11,GB,JAX,1.0,94.0,7.0,3016.0,7.0,0.57677984,56.0,false,false,false,14.0,00-0029739,J.Schum,-0.13785578,707.0
2016_01_GB_JAX,2016,1,2016-09-11,GB,JAX,1.0,69.0,4.0,2837.0,0.0,0.3661382,48.0,false,false,false,0.0,00-0029739,J.Schum,0.4059613,919.0
2016_01_GB_JAX,2016,1,2016-09-11,JAX,GB,1.0,70.0,1.0,2709.0,0.0,0.5497981,67.0,true,false,false,0.0,00-0029304,B.Nortman,1.017551,1005.0
2016_01_GB_JAX,2016,1,2016-09-11,GB,JAX,2.0,93.0,6.0,2631.0,0.0,0.31470034,46.0,false,false,false,0.0,00-0029739,J.Schum,-0.09464574,1156.0
2016_01_GB_JAX,2016,1,2016-09-11,GB,JAX,4.0,81.0,9.0,203.0,4.0,0.64896774,34.0,false,false,false,0.0,00-0029739,J.Schum,-0.12610327,3793.0
2016_01_LA_SF,2016,1,2016-09-12,LA,SF,1.0,46.0,10.0,3388.0,0.0,0.39257142,28.0,true,false,false,0.0,00-0028872,J.Hekker,-0.48330164,236.0
2016_01_LA_SF,2016,1,2016-09-12,SF,LA,1.0,61.0,1.0,3242.0,0.0,0.59458596,52.0,true,false,false,0.0,00-0032065,B.Pinion,0.11388072,401.0
2016_01_LA_SF,2016,1,2016-09-12,LA,SF,1.0,95.0,14.0,3113.0,0.0,0.31618926,54.0,false,false,false,7.0,00-0028872,J.Hekker,0.400707,490.0
2016_01_LA_SF,2016,1,2016-09-12,LA,SF,1.0,73.0,4.0,2811.0,-7.0,0.19578901,50.0,false,false,false,0.0,00-0028872,J.Hekker,0.5452391,863.0
2016_01_LA_SF,2016,1,2016-09-12,LA,SF,2.0,46.0,5.0,2134.0,-14.0,0.09976886,36.0,true,false,false,0.0,00-0028872,J.Hekker,-0.40445054,1641.0
2016_01_LA_SF,2016,1,2016-09-12,LA,SF,2.0,59.0,8.0,1951.0,-14.0,0.08849412,39.0,false,false,false,0.0,00-0028872,J.Hekker,-0.46439695,1906.0
2016_01_LA_SF,2016,1,2016-09-12,SF,LA,2.0,77.0,7.0,1876.0,14.0,0.8920963,40.0,false,false,false,2.0,00-0032065,B.Pinion,-1.0178735,2006.0
2016_01_LA_SF,2016,1,2016-09-12,LA,SF,2.0,70.0,19.0,1822.0,-14.0,0.071413286,44.0,false,false,false,0.0,00-0028872,J.Hekker,0.06311812,2113.0
2016_01_LA_SF,2016,1,2016-09-12,SF,LA,3.0,85.0,20.0,1696.0,14.0,0.8752442,52.0,false,false,false,8.0,00-0032065,B.Pinion,0.37154084,2267.0
2016_01_LA_SF,2016,1,2016-09-12,LA,SF,3.0,55.0,6.0,1576.0,-14.0,0.08571003,37.0,true,false,false,0.0,00-0028872,J.Hekker,-0.12636787,2362.0
2016_01_LA_SF,2016,1,2016-09-12,SF,LA,3.0,79.0,7.0,1526.0,14.0,0.896774,52.0,false,false,false,0.0,00-0032065,B.Pinion,1.5083412,2455.0
2016_01_LA_SF,2016,1,2016-09-12,LA,SF,3.0,78.0,5.0,1461.0,-14.0,0.059044525,47.0,false,false,false,4.0,00-0028872,J.Hekker,0.08874666,2563.0
2016_01_LA_SF,2016,1,2016-09-12,SF,LA,3.0,67.0,12.0,1364.0,14.0,0.90234834,39.0,false,false,false,0.0,00-0032065,B.Pinion,0.03528001,2654.0
2016_01_LA_SF,2016,1,2016-09-12,LA,SF,3.0,63.0,11.0,1211.0,-14.0,0.061672553,47.0,true,false,false,0.0,00-0028872,J.Hekker,0.59606403,2806.0
2016_01_LA_SF,2016,1,2016-09-12,SF,LA,3.0,82.0,8.0,1147.0,14.0,0.9268835,48.0,false,false,false,28.0,00-0032065,B.Pinion,-1.4399614,2893.0
2016_01_LA_SF,2016,1,2016-09-12,LA,SF,4.0,69.0,4.0,673.0,-21.0,0.009360833,49.0,false,false,false,0.0,00-0028872,J.Hekker,0.15246187,3520.0
2016_01_LA_SF,2016,1,2016-09-12,SF,LA,4.0,80.0,9.0,31.0,28.0,0.9998635,36.0,false,false,false,0.0,00-0032065,B.Pinion,0.28180718,4280.0
