season,week,game_id,team,distance_bucket,fg_make_rate_roll6
2020,7,2020_07_SEA_ARI,ARI,41-50,
2020,9,2020_09_MIA_ARI,ARI,31-40,
2020,9,2020_09_MIA_ARI,ARI,41-50,
2020,10,2020_10_BUF_ARI,ARI,0-30,
2020,10,2020_10_BUF_ARI,ARI,41-50,
2020,12,2020_12_ARI_NE,ARI,41-50,0.625
2020,13,2020_13_LA_ARI,ARI,41-50,0.7083333333333334
2020,14,2020_14_ARI_NYG,ARI,31-40,
2020,14,2020_14_ARI_NYG,ARI,0-30,
2020,15,2020_15_PHI_ARI,ARI,31-40,
2020,16,2020_16_SF_ARI,ARI,0-30,
2020,16,2020_16_SF_ARI,ARI,41-50,0.5416666666666666
2020,17,2020_17_ARI_LA,ARI,31-40,
2021,1,2021_01_ARI_TEN,ARI,41-50,
2021,1,2021_01_ARI_TEN,ARI,31-40,
2021,2,2021_02_MIN_ARI,ARI,0-30,
2021,2,2021_02_MIN_ARI,ARI,56+,
2021,3,2021_03_ARI_JAX,ARI,56+,
2021,3,2021_03_ARI_JAX,ARI,31-40,
2021,4,2021_04_ARI_LA,ARI,0-30,
2021,4,2021_04_ARI_LA,ARI,51-55,
2021,5,2021_05_SF_ARI,ARI,56+,
2021,5,2021_05_SF_ARI,ARI,0-30,
2021,6,2021_06_ARI_CLE,ARI,31-40,
2021,6,2021_06_ARI_CLE,ARI,51-55,
2021,7,2021_07_HOU_ARI,ARI,31-40,
2021,9,2021_09_ARI_SF,ARI,0-30,
2021,10,2021_10_CAR_ARI,ARI,41-50,
2021,11,2021_11_ARI_SEA,ARI,31-40,
2021,11,2021_11_ARI_SEA,ARI,51-55,
2021,13,2021_13_ARI_CHI,ARI,31-40,
2021,13,2021_13_ARI_CHI,ARI,0-30,
2021,14,2021_14_LA_ARI,ARI,41-50,
2021,14,2021_14_LA_ARI,ARI,51-55,
2021,15,2021_15_ARI_DET,ARI,0-30,
2021,16,2021_16_IND_ARI,ARI,51-55,
2021,16,2021_16_IND_ARI,ARI,0-30,1.0
2021,16,2021_16_IND_ARI,ARI,41-50,
2021,17,2021_17_ARI_DAL,ARI,0-30,1.0
2021,17,2021_17_ARI_DAL,ARI,51-55,
2021,17,2021_17_ARI_DAL,ARI,31-40,0.8333333333333334
2021,18,2021_18_SEA_ARI,ARI,31-40,0.8333333333333334
2021,18,2021_18_SEA_ARI,ARI,0-30,1.0
2021,18,2021_18_SEA_ARI,ARI,41-50,
2022,3,2022_03_LA_ARI,ARI,41-50,
2022,3,2022_03_LA_ARI,ARI,31-40,
2022,3,2022_03_LA_ARI,ARI,0-30,
2022,4,2022_04_ARI_CAR,ARI,31-40,
2022,5,2022_05_PHI_ARI,ARI,0-30,
2022,5,2022_05_PHI_ARI,ARI,41-50,
2022,6,2022_06_ARI_SEA,ARI,0-30,
2022,7,2022_07_NO_ARI,ARI,0-30,
2022,7,2022_07_NO_ARI,ARI,41-50,
2022,8,2022_08_ARI_MIN,ARI,41-50,
2022,8,2022_08_ARI_MIN,ARI,31-40,
2022,10,2022_10_ARI_LA,ARI,31-40,
2022,10,2022_10_ARI_LA,ARI,41-50,
2022,11,2022_11_SF_ARI,ARI,31-40,
2022,12,2022_12_LAC_ARI,ARI,41-50,
2022,14,2022_14_NE_ARI,ARI,41-50,0.75
2022,14,2022_14_NE_ARI,ARI,31-40,
2022,15,2022_15_ARI_DEN,ARI,41-50,0.5833333333333334
2022,15,2022_15_ARI_DEN,ARI,51-55,
2022,16,2022_16_TB_ARI,ARI,56+,
2022,16,2022_16_TB_ARI,ARI,51-55,
2022,16,2022_16_TB_ARI,ARI,31-40,1.0
2022,17,2022_17_ARI_ATL,ARI,31-40,1.0
2022,17,2022_17_ARI_ATL,ARI,41-50,0.75
2022,17,2022_17_ARI_ATL,ARI,56+,
2023,1,2023_01_ARI_WAS,ARI,51-55,
2023,1,2023_01_ARI_WAS,ARI,31-40,
2023,1,2023_01_ARI_WAS,ARI,0-30,
2023,2,2023_02_NYG_ARI,ARI,41-50,
2023,2,2023_02_NYG_ARI,ARI,31-40,
2023,2,2023_02_NYG_ARI,ARI,51-55,
2023,3,2023_03_DAL_ARI,ARI,31-40,
2023,3,2023_03_DAL_ARI,ARI,41-50,
2023,3,2023_03_DAL_ARI,ARI,56+,
2023,4,2023_04_ARI_SF,ARI,31-40,
2023,6,2023_06_ARI_LA,ARI,31-40,
2023,6,2023_06_ARI_LA,ARI,51-55,
2023,6,2023_06_ARI_LA,ARI,0-30,
2023,7,2023_07_ARI_SEA,ARI,31-40,
2023,7,2023_07_ARI_SEA,ARI,41-50,
2023,8,2023_08_BAL_ARI,ARI,41-50,
2023,10,2023_10_ATL_ARI,ARI,51-55,
2023,10,2023_10_ATL_ARI,ARI,0-30,
2023,10,2023_10_ATL_ARI,ARI,41-50,
2023,10,2023_10_ATL_ARI,ARI,56+,
2023,11,2023_11_ARI_HOU,ARI,56+,
2023,12,2023_12_LA_ARI,ARI,56+,
2023,13,2023_13_ARI_PIT,ARI,51-55,
2023,15,2023_15_SF_ARI,ARI,41-50,
2023,15,2023_15_SF_ARI,ARI,56+,
2023,15,2023_15_SF_ARI,ARI,0-30,
2023,16,2023_16_ARI_CHI,ARI,51-55,
2023,17,2023_17_ARI_PHI,ARI,0-30,
2023,17,2023_17_ARI_PHI,ARI,31-40,0.8333333333333334
2023,18,2023_18_SEA_ARI,ARI,51-55,0.8333333333333334
2023,18,2023_18_SEA_ARI,ARI,31-40,0.8333333333333334
2023,18,2023_18_SEA_ARI,ARI,41-50,1.0
2023,18,2023_18_SEA_ARI,ARI,0-30,
2024,1,2024_01_ARI_BUF,ARI,31-40,
2024,1,2024_01_ARI_BUF,ARI,0-30,
2024,2,2024_02_LA_ARI,ARI,41-50,
2024,2,2024_02_LA_ARI,ARI,56+,
2024,3,2024_03_DET_ARI,ARI,41-50,
2024,5,2024_05_ARI_SF,ARI,31-40,
2024,5,2024_05_ARI_SF,ARI,41-50,
2024,5,2024_05_ARI_SF,ARI,0-30,
2024,6,2024_06_ARI_GB,ARI,31-40,
2024,7,2024_07_LAC_ARI,ARI,31-40,
2024,8,2024_08_ARI_MIA,ARI,56+,
2024,8,2024_08_ARI_MIA,ARI,31-40,
2024,9,2024_09_CHI_ARI,ARI,51-55,
2024,9,2024_09_CHI_ARI,ARI,0-30,
2024,10,2024_10_NYJ_ARI,ARI,31-40,
2024,12,2024_12_ARI_SEA,ARI,31-40,1.0
2024,12,2024_12_ARI_SEA,ARI,0-30,
2024,12,2024_12_ARI_SEA,ARI,41-50,
2024,13,2024_13_ARI_MIN,ARI,41-50,
2024,13,2024_13_ARI_MIN,ARI,0-30,
2024,13,2024_13_ARI_MIN,ARI,31-40,1.0
2024,14,2024_14_SEA_ARI,ARI,0-30,
