game_id,season,week,game_date,home_team,away_team,posteam,defteam,qtr,game_seconds_remaining,yardline_100,ydstogo,score_differential,roof,temp,wind,shotgun,no_huddle,qb_dropback,qb_scramble,epa,wp,wpa,decision,go_converted,go_failed,fg_made,kick_distance,punt_attempt,field_goal_attempt,yards_gained,touchback,drive,fixed_drive,order_sequence,play_id,ydstogo_bin,yardline_bin,go_conv_rate,go_attempts,go_stop_rate,go_faced,epa_per_drive_roll6,success_rate_roll6,points_per_drive_roll6
2022_01_TB_DAL,2022,1,2022-09-11,DAL,TB,DAL,TB,3.0,1398.0,70.0,13.0,-9.0,closed,,,0.0,0.0,0.0,0.0,0.46571475,0.16755983,-0.003866464,PUNT,false,false,,58.0,1.0,0.0,0.0,0.0,13.0,13.0,2326.0,2326.0,11+,61-80,,,1.0,1,,,
2022_04_CHI_NYG,2022,4,2022-10-02,NYG,CHI,NYG,CHI,3.0,1315.0,70.0,5.0,2.0,outdoors,,,0.0,0.0,0.0,0.0,-0.5630269,0.60906756,-0.0074110627,GO,false,false,,,0.0,0.0,0.0,0.0,13.0,13.0,2450.0,2450.0,3-5,61-80,0.3333333333333333,3,1.0,1,,,
2022_09_GB_DET,2022,9,2022-11-06,DET,GB,GB,DET,4.0,399.0,7.0,3.0,-9.0,dome,,,0.0,0.0,0.0,0.0,0.03852088,0.13932039,-0.017025724,FG,false,false,true,25.0,0.0,1.0,0.0,0.0,15.0,15.0,3344.0,3344.0,3-5,0-20,0.5,4,,,-0.2168262,0.38932864503433634,2.0733225
2022_09_GB_DET,2022,9,2022-11-06,DET,GB,GB,DET,4.0,69.0,49.0,2.0,-6.0,dome,,,1.0,0.0,1.0,0.0,4.0159807,0.119911864,0.23681067,GO,true,false,,,0.0,0.0,32.0,0.0,17.0,17.0,3713.0,3713.0,2,41-60,1.0,1,0.0,1,-0.2168262,0.38932864503433634,2.0733225
2022_10_NO_PIT,2022,10,2022-11-13,PIT,NO,NO,PIT,1.0,2839.0,62.0,2.0,-7.0,outdoors,37.0,15.0,0.0,0.0,0.0,0.0,-0.21924308,0.27189076,-0.011111438,PUNT,false,false,,62.0,1.0,0.0,0.0,1.0,4.0,4.0,806.0,806.0,2,61-80,,,,,-0.7028666,0.3330066474919416,1.2659091
2022_11_WAS_HOU,2022,11,2022-11-20,HOU,WAS,WAS,HOU,2.0,2095.0,7.0,7.0,14.0,closed,,,0.0,0.0,0.0,0.0,0.08073218,0.8733426,-0.008520514,FG,false,false,true,25.0,0.0,1.0,0.0,0.0,10.0,10.0,1442.0,1442.0,6-10,0-20,0.0,1,1.0,1,-0.43658337,0.33848045986934877,1.6164984
2021_15_LV_CLE,2021,15,2021-12-20,CLE,LV,CLE,LV,4.0,234.0,6.0,5.0,-6.0,outdoors,40.0,8.0,1.0,0.0,1.0,0.0,4.1498084,0.33134168,0.24539873,GO,true,false,,,0.0,0.0,6.0,0.0,17.0,17.0,3670.0,3670.0,3-5,0-20,0.42857142857142855,7,0.0,1,-0.6078914,0.377325952941669,1.5247475
2021_16_TB_CAR,2021,16,2021-12-26,CAR,TB,TB,CAR,1.0,3451.0,59.0,6.0,0.0,outdoors,73.0,8.0,0.0,0.0,0.0,0.0,-1.0240426,0.38348007,-0.0049206614,PUNT,false,false,,45.0,1.0,0.0,0.0,0.0,1.0,1.0,189.0,189.0,6-10,41-60,1.0,1,,,-1.0667883,0.37532962197734926,1.6141413
2021_17_MIA_TEN,2021,17,2022-01-02,TEN,MIA,MIA,TEN,2.0,1871.0,46.0,10.0,-14.0,outdoors,43.0,13.0,0.0,0.0,0.0,0.0,-0.6286313,0.088297926,-0.007998787,PUNT,false,false,,32.0,1.0,0.0,0.0,0.0,11.0,11.0,1845.0,1845.0,6-10,41-60,1.0,1,0.0,3,-0.75557286,0.35899116741734094,1.5963806
2022_01_NO_ATL,2022,1,2022-09-11,ATL,NO,NO,ATL,2.0,1836.0,82.0,17.0,-6.0,closed,,,0.0,0.0,0.0,0.0,-0.43969202,0.2372067,-0.01665163,PUNT,false,false,,56.0,1.0,0.0,0.0,0.0,12.0,12.0,1862.0,1862.0,11+,81-100,,,1.0,1,,,
2022_04_DEN_LV,2022,4,2022-10-02,LV,DEN,LV,DEN,2.0,2197.0,79.0,9.0,0.0,dome,,,0.0,0.0,0.0,0.0,-1.112091,0.4502925,-0.007244259,PUNT,false,false,,51.0,1.0,0.0,0.0,0.0,7.0,7.0,1323.0,1323.0,6-10,61-80,0.0,3,,,,,
2022_04_DEN_LV,2022,4,2022-10-02,LV,DEN,LV,DEN,4.0,594.0,13.0,1.0,6.0,dome,,,0.0,0.0,0.0,0.0,0.1469357,0.8920398,-0.013257362,FG,false,false,true,30.0,0.0,1.0,0.0,0.0,18.0,18.0,3021.0,3021.0,1,0-20,0.0,2,0.5,2,,,
2022_06_DEN_LAC,2022,6,2022-10-17,LAC,DEN,LAC,DEN,3.0,1452.0,12.0,1.0,-3.0,dome,,,0.0,0.0,0.0,0.0,0.12740241,0.532503,0.0015236735,FG,false,false,true,31.0,0.0,1.0,0.0,0.0,10.0,10.0,2468.0,2468.0,1,0-20,1.0,4,0.5,2,,,
2022_09_IND_NE,2022,9,2022-11-06,NE,IND,NE,IND,1.0,3283.0,94.0,13.0,0.0,outdoors,78.0,13.0,0.0,0.0,0.0,0.0,-0.37797168,0.42477772,0.027586848,PUNT,false,false,,36.0,1.0,0.0,0.0,0.0,3.0,3.0,380.0,380.0,11+,81-100,,,,,-0.43379495,0.37315839089828984,1.7272469
2021_17_KC_CIN,2021,17,2022-01-02,CIN,KC,CIN,KC,3.0,1328.0,55.0,1.0,-4.0,outdoors,33.0,13.0,1.0,0.0,1.0,0.0,3.280468,0.33626434,0.13050953,GO,true,false,,,0.0,0.0,17.0,0.0,14.0,14.0,2720.0,2720.0,1,41-60,1.0,3,0.19999999999999996,5,1.254704,0.43269138689593234,2.9844987
2022_01_PIT_CIN,2022,1,2022-09-11,CIN,PIT,CIN,PIT,1.0,3141.0,41.0,17.0,-7.0,outdoors,,,0.0,0.0,0.0,0.0,3.524636,0.3651985,0.06615412,FG,false,false,true,59.0,0.0,1.0,0.0,0.0,3.0,3.0,465.0,465.0,11+,41-60,,,1.0,1,,,
2022_01_PIT_CIN,2022,1,2022-09-11,CIN,PIT,CIN,PIT,5.0,64.0,50.0,16.0,0.0,outdoors,,,0.0,0.0,0.0,0.0,-0.3370176,0.06542669,0.8360617,PUNT,false,false,,50.0,1.0,0.0,0.0,1.0,28.0,28.0,4976.0,4976.0,11+,41-60,,,1.0,1,,,
2022_03_JAX_LAC,2022,3,2022-09-25,LAC,JAX,LAC,JAX,3.0,1496.0,69.0,4.0,-13.0,dome,,,0.0,0.0,0.0,0.0,-1.1347554,0.106433846,-0.03660796,PUNT,false,false,,42.0,1.0,0.0,0.0,0.0,16.0,16.0,2601.0,2601.0,3-5,61-80,0.5,2,,,,,
2022_04_MIA_CIN,2022,4,2022-09-29,CIN,MIA,CIN,MIA,3.0,1522.0,56.0,12.0,2.0,outdoors,,,0.0,0.0,0.0,0.0,0.40249148,0.61463153,-0.008609384,PUNT,false,false,,48.0,1.0,0.0,0.0,0.0,13.0,13.0,2329.0,2329.0,11+,41-60,,,,,,,
2022_04_NE_GB,2022,4,2022-10-02,GB,NE,GB,NE,1.0,2852.0,46.0,16.0,-3.0,outdoors,,,0.0,0.0,0.0,0.0,0.45838743,0.4901714,-0.00995335,PUNT,false,false,,38.0,1.0,0.0,0.0,0.0,4.0,4.0,641.0,641.0,11+,41-60,0.0,2,1.0,2,,,
2022_04_NE_GB,2022,4,2022-10-02,GB,NE,GB,NE,4.0,122.0,45.0,13.0,0.0,outdoors,,,0.0,0.0,0.0,0.0,-0.0025457991,0.517169,-0.021651506,PUNT,false,false,,43.0,1.0,0.0,0.0,0.0,20.0,20.0,3392.0,3392.0,11+,41-60,0.0,2,1.0,2,,,
2022_07_DET_DAL,2022,7,2022-10-23,DAL,DET,DAL,DET,2.0,2547.0,3.0,2.0,-3.0,closed,,,0.0,0.0,0.0,0.0,0.047731586,0.52803993,-0.021158218,FG,false,false,true,22.0,0.0,1.0,0.0,0.0,5.0,5.0,931.0,931.0,2,0-20,,,1.0,1,,,
2022_09_GB_DET,2022,9,2022-11-06,DET,GB,GB,DET,3.0,1620.0,44.0,11.0,-8.0,dome,,,0.0,0.0,0.0,0.0,-0.4508741,0.1655441,0.0005517602,PUNT,false,false,,31.0,1.0,0.0,0.0,0.0,9.0,9.0,2041.0,2041.0,11+,41-60,0.0,2,0.0,1,-0.2168262,0.38932864503433634,2.0733225
2022_10_LAC_SF,2022,10,2022-11-13,SF,LAC,SF,LAC,3.0,1435.0,8.0,8.0,-6.0,outdoors,57.0,6.0,0.0,0.0,0.0,0.0,0.09736225,0.38946995,0.0031651556,FG,false,false,true,26.0,0.0,1.0,0.0,0.0,12.0,12.0,2618.0,2618.0,6-10,0-20,0.0,1,,,-0.32663703,0.32590758518566004,1.9823232
2022_10_NO_PIT,2022,10,2022-11-13,PIT,NO,NO,PIT,3.0,1214.0,60.0,13.0,0.0,outdoors,37.0,15.0,0.0,0.0,0.0,0.0,1.023065,0.38852587,0.076369494,PUNT,false,false,,58.0,1.0,0.0,0.0,0.0,14.0,14.0,2656.0,2656.0,11+,41-60,0.0,1,1.0,1,-0.7028666,0.3330066474919416,1.2659091
2022_12_BUF_DET,2022,12,2022-11-24,DET,BUF,BUF,DET,4.0,641.0,53.0,10.0,-3.0,dome,,,0.0,0.0,0.0,0.0,-0.053667467,0.27750912,-0.023385376,PUNT,false,false,,44.0,1.0,0.0,0.0,0.0,15.0,15.0,3393.0,3393.0,6-10,41-60,,,0.75,4,-0.36288857,0.4254136541068359,1.7796717
2022_12_LA_KC,2022,12,2022-11-27,KC,LA,LA,KC,1.0,3306.0,45.0,12.0,0.0,outdoors,44.0,6.0,0.0,0.0,0.0,0.0,0.12315664,0.4701989,-0.0012705028,PUNT,false,false,,35.0,1.0,0.0,0.0,0.0,3.0,3.0,404.0,404.0,11+,41-60,,,1.0,1,1.0550438,0.41520538970598775,2.6350648
2022_13_BUF_NE,2022,13,2022-12-01,NE,BUF,NE,BUF,2.0,1815.0,29.0,6.0,-10.0,outdoors,35.0,2.0,0.0,0.0,0.0,0.0,-2.2737355,0.18461505,-0.041367143,FG,false,false,false,48.0,0.0,1.0,0.0,0.0,11.0,11.0,2133.0,2133.0,6-10,21-40,,,1.0,3,0.61698633,0.4607385772663551,2.4524605
2022_14_CLE_CIN,2022,14,2022-12-11,CIN,CLE,CIN,CLE,3.0,1512.0,56.0,13.0,10.0,outdoors,47.0,8.0,0.0,0.0,0.0,0.0,0.22499615,0.84133536,0.0010041893,PUNT,false,false,,43.0,1.0,0.0,0.0,0.0,12.0,12.0,2522.0,2522.0,11+,41-60,,,,,0.007988445,0.40833772025533394,1.8701032
2022_14_CLE_CIN,2022,14,2022-12-11,CIN,CLE,CIN,CLE,4.0,266.0,77.0,5.0,13.0,outdoors,47.0,8.0,0.0,0.0,0.0,0.0,-1.4962246,0.98737866,-0.023612123,PUNT,false,false,,25.0,1.0,0.0,0.0,0.0,20.0,20.0,4002.0,4002.0,3-5,61-80,0.0,2,1.0,1,0.007988445,0.40833772025533394,1.8701032
2021_17_CLE_PIT,2021,17,2022-01-03,PIT,CLE,CLE,PIT,3.0,1667.0,59.0,4.0,-10.0,outdoors,25.0,12.0,0.0,0.0,0.0,0.0,-0.2369379,0.154083,-0.017732903,PUNT,false,false,,42.0,1.0,0.0,0.0,0.0,14.0,14.0,2435.0,2435.0,3-5,41-60,0.0,1,0.0,1,-0.7291941,0.3614530740054777,1.7815657
2022_06_DEN_LAC,2022,6,2022-10-17,LAC,DEN,LAC,DEN,5.0,298.0,80.0,9.0,0.0,dome,,,0.0,0.0,0.0,0.0,5.113267,0.2298584,0.58160317,PUNT,false,false,,52.0,1.0,0.0,0.0,0.0,22.0,22.0,4440.0,4440.0,6-10,61-80,,,,,,,
2022_06_WAS_CHI,2022,6,2022-10-13,CHI,WAS,CHI,WAS,1.0,3012.0,21.0,1.0,0.0,outdoors,,,0.0,1.0,0.0,0.0,1.5716654,0.60399586,0.05829835,GO,true,false,,,0.0,0.0,2.0,0.0,3.0,3.0,526.0,526.0,1,21-40,1.0,1,0.5,2,,,
2022_11_LV_DEN,2022,11,2022-11-20,DEN,LV,DEN,LV,4.0,113.0,66.0,10.0,3.0,outdoors,49.0,11.0,0.0,0.0,0.0,0.0,-0.16214612,0.8324646,-0.08498174,PUNT,false,false,,51.0,1.0,0.0,0.0,0.0,17.0,17.0,3761.0,3761.0,6-10,61-80,,,0.0,1,0.13485423,0.36263401721735056,2.1574075
2022_13_LAC_LV,2022,13,2022-12-04,LV,LAC,LAC,LV,2.0,2501.0,19.0,9.0,7.0,dome,,,0.0,0.0,0.0,0.0,0.43814224,0.7615461,-0.010447696,FG,false,false,true,37.0,0.0,1.0,0.0,0.0,7.0,7.0,1103.0,1103.0,6-10,0-20,1.0,1,1.0,1,0.12414602,0.3834311298766247,2.1021163
2022_13_LAC_LV,2022,13,2022-12-04,LV,LAC,LAC,LV,3.0,1417.0,64.0,9.0,-11.0,dome,,,0.0,0.0,0.0,0.0,-0.21309096,0.10723149,0.006838031,PUNT,false,false,,44.0,1.0,0.0,0.0,0.0,18.0,18.0,2670.0,2670.0,6-10,61-80,,,0.0,1,0.12414602,0.3834311298766247,2.1021163
