game_id,season,week,game_date,posteam,defteam,home_team,away_team,fixed_drive,drive_epa,drive_success_rate,drive_posteam_score_start,drive_posteam_score_end,drive_start_yard_line,fixed_drive_result,drive_points
2022_02_CAR_NYG,2022,2,2022-09-18,NYG,CAR,NYG,CAR,23.0,-1.053722,0.375,19.0,19.0,NYG 25,End of half,0.0
2022_09_IND_NE,2022,9,2022-11-06,IND,NE,NE,IND,24.0,-2.6523647,0.2,3.0,3.0,IND 25,Punt,0.0
2022_04_SEA_DET,2022,4,2022-10-02,DET,SEA,DET,SEA,3.0,1.8359189,0.5,0.0,6.0,SEA 32,Touchdown,6.0
2022_06_MIN_MIA,2022,6,2022-10-16,MIN,MIA,MIA,MIN,11.0,-1.7395577,0.25,7.0,7.0,MIN 42,Punt,0.0
2022_02_MIA_BAL,2022,2,2022-09-18,MIA,BAL,BAL,MIA,21.0,6.2734303,0.75,35.0,42.0,MIA 32,Touchdown,7.0
2022_08_CHI_DAL,2022,8,2022-10-30,CHI,DAL,DAL,CHI,2.0,-2.8826501,0.0,0.0,0.0,CHI 25,Punt,0.0
2022_03_LA_ARI,2022,3,2022-09-25,LA,ARI,ARI,LA,2.0,-0.63914317,0.5555555555555556,0.0,3.0,ARI 35,Field goal,3.0
2021_17_JAX_NE,2021,17,2022-01-02,JAX,NE,NE,JAX,5.0,-4.6840897,0.4285714285714285,3.0,3.0,JAX 22,Turnover,0.0
2022_08_TEN_HOU,2022,8,2022-10-30,TEN,HOU,HOU,TEN,12.0,-0.29821855,0.5555555555555556,7.0,7.0,TEN 17,Punt,0.0
2021_15_SEA_LA,2021,15,2021-12-21,SEA,LA,LA,SEA,10.0,6.0429206,0.7142857142857143,3.0,10.0,SEA 25,Touchdown,7.0
2022_04_MIA_CIN,2022,4,2022-09-29,MIA,CIN,CIN,MIA,10.0,4.9639497,0.5,6.0,12.0,MIA 25,Touchdown,6.0
2021_17_MIN_GB,2021,17,2022-01-02,MIN,GB,GB,MIN,19.0,-1.2796044,0.4,10.0,10.0,MIN 19,Punt,0.0
2022_06_BAL_NYG,2022,6,2022-10-16,NYG,BAL,NYG,BAL,4.0,-2.6161253,0.0,0.0,0.0,NYG 46,Punt,0.0
2022_08_NYG_SEA,2022,8,2022-10-30,SEA,NYG,SEA,NYG,3.0,-0.9753421,0.3333333333333333,0.0,0.0,SEA 14,Punt,0.0
2021_14_LV_KC,2021,14,2021-12-12,LV,KC,KC,LV,10.0,-2.6851225,0.25,0.0,0.0,LV 25,Turnover,0.0
2022_01_NE_MIA,2022,1,2022-09-11,MIA,NE,MIA,NE,4.0,-0.51344585,0.4545454545454545,3.0,3.0,MIA 6,Punt,0.0
2022_02_ATL_LA,2022,2,2022-09-18,ATL,LA,LA,ATL,18.0,-4.3815913,0.4,25.0,25.0,LA 37,Turnover,0.0
2022_05_HOU_JAX,2022,5,2022-10-09,JAX,HOU,JAX,HOU,10.0,2.1153011,0.5,3.0,6.0,JAX 23,Field goal,3.0
2021_15_DAL_NYG,2021,15,2021-12-19,DAL,NYG,NYG,DAL,9.0,1.0478655,0.5,12.0,15.0,NYG 46,Field goal,3.0
2021_16_BUF_NE,2021,16,2021-12-26,BUF,NE,NE,BUF,2.0,5.3371677,0.5714285714285714,0.0,7.0,BUF 39,Touchdown,7.0
2021_14_CHI_GB,2021,14,2021-12-12,GB,CHI,GB,CHI,22.0,-1.9052291,0.0,45.0,45.0,GB 46,Turnover,0.0
2022_03_PIT_CLE,2022,3,2022-09-22,PIT,CLE,CLE,PIT,21.0,-6.9361143,0.0,17.0,17.0,PIT 4,Opp touchdown,0.0
2022_05_LV_KC,2022,5,2022-10-10,KC,LV,KC,LV,2.0,-2.4262133,0.25,0.0,0.0,KC 21,Punt,0.0
2022_10_JAX_KC,2022,10,2022-11-13,KC,JAX,KC,JAX,2.0,-3.704476,0.0,0.0,0.0,JAX 46,Punt,0.0
2021_16_BUF_NE,2021,16,2021-12-26,NE,BUF,NE,BUF,5.0,-4.7695456,0.25,7.0,7.0,NE 19,Turnover,0.0
2022_05_NYG_GB,2022,5,2022-10-09,NYG,GB,GB,NYG,14.0,4.9738655,0.75,20.0,27.0,NYG 40,Touchdown,7.0
2022_10_IND_LV,2022,10,2022-11-13,LV,IND,LV,IND,5.0,-2.6935127,0.0,0.0,0.0,LV 25,Punt,0.0
2022_09_MIN_WAS,2022,9,2022-11-06,MIN,WAS,WAS,MIN,1.0,6.2973504,0.6363636363636364,0.0,7.0,MIN 22,Touchdown,7.0
2021_18_TEN_HOU,2021,18,2022-01-09,TEN,HOU,HOU,TEN,2.0,-3.8209286,0.0,0.0,0.0,TEN 17,Punt,0.0
2022_08_GB_BUF,2022,8,2022-10-30,BUF,GB,BUF,GB,7.0,6.1820292,0.8,14.0,21.0,BUF 20,Touchdown,7.0
2022_06_DEN_LAC,2022,6,2022-10-17,DEN,LAC,LAC,DEN,4.0,6.554094,0.625,3.0,10.0,DEN 16,Touchdown,7.0
2021_14_SF_CIN,2021,14,2021-12-12,SF,CIN,CIN,SF,8.0,-2.575223,0.25,10.0,10.0,SF 21,Punt,0.0
2022_09_GB_DET,2022,9,2022-11-06,DET,GB,DET,GB,10.0,-5.4375706,0.5,8.0,8.0,DET 13,Turnover,0.0
2021_18_NE_MIA,2021,18,2022-01-09,NE,MIA,MIA,NE,11.0,2.2297778,0.6666666666666666,7.0,10.0,NE 25,Field goal,3.0
2022_07_IND_TEN,2022,7,2022-10-23,TEN,IND,TEN,IND,10.0,-0.18788706,0.0,13.0,13.0,TEN 28,End of half,0.0
2021_16_DEN_LV,2021,16,2021-12-26,LV,DEN,LV,DEN,4.0,5.691877,0.5294117647058824,0.0,7.0,LV 24,Touchdown,7.0
2022_07_NYJ_DEN,2022,7,2022-10-23,DEN,NYJ,DEN,NYJ,16.0,-0.980629,0.4,9.0,9.0,DEN 20,Punt,0.0
2022_03_DET_MIN,2022,3,2022-09-25,DET,MIN,MIN,DET,24.0,-0.39772213,0.1666666666666666,24.0,24.0,DET 25,Turnover,0.0
2022_01_BUF_LA,2022,1,2022-09-08,BUF,LA,LA,BUF,1.0,6.0429206,0.7272727272727273,0.0,7.0,BUF 25,Touchdown,7.0
2022_09_LA_TB,2022,9,2022-11-06,TB,LA,TB,LA,22.0,0.7351041,0.5,6.0,9.0,TB 38,Field goal,3.0
2022_09_LA_TB,2022,9,2022-11-06,LA,TB,TB,LA,17.0,-2.571626,0.0,10.0,10.0,LA 11,Punt,0.0
2022_08_BAL_TB,2022,8,2022-10-27,BAL,TB,TB,BAL,8.0,0.008661747,0.6428571428571429,3.0,3.0,BAL 6,Punt,0.0
2022_07_SEA_LAC,2022,7,2022-10-23,LAC,SEA,LAC,SEA,24.0,5.6094127,0.5714285714285714,16.0,23.0,LAC 25,Touchdown,7.0
2022_08_DEN_JAX,2022,8,2022-10-30,DEN,JAX,JAX,DEN,21.0,6.146799,0.7777777777777778,14.0,21.0,DEN 20,Touchdown,7.0
2022_04_LA_SF,2022,4,2022-10-03,SF,LA,SF,LA,15.0,-3.865139,0.125,17.0,17.0,SF 45,Missed field goal,0.0
2022_08_DEN_JAX,2022,8,2022-10-30,DEN,JAX,JAX,DEN,7.0,-1.7243211,0.4,0.0,0.0,DEN 20,Punt,0.0
2022_01_PIT_CIN,2022,1,2022-09-11,PIT,CIN,CIN,PIT,8.0,5.5022025,0.5555555555555556,10.0,17.0,PIT 41,Touchdown,7.0
2022_11_CHI_ATL,2022,11,2022-11-20,CHI,ATL,ATL,CHI,19.0,-3.6959324,0.0,24.0,24.0,CHI 25,Turnover,0.0
2022_09_SEA_ARI,2022,9,2022-11-06,SEA,ARI,ARI,SEA,9.0,-0.93501663,0.1666666666666666,10.0,10.0,SEA 21,Punt,0.0
2022_10_LAC_SF,2022,10,2022-11-13,SF,LAC,SF,LAC,10.0,6.0561085,0.5833333333333334,3.0,10.0,SF 25,Touchdown,7.0
2022_01_NE_MIA,2022,1,2022-09-11,MIA,NE,MIA,NE,13.0,-2.3244615,0.25,20.0,20.0,MIA 10,Punt,0.0
2021_13_NYG_MIA,2021,13,2021-12-05,NYG,MIA,MIA,NYG,23.0,-0.6125335,0.375,9.0,9.0,NYG 25,Missed field goal,0.0
2021_18_PIT_BAL,2021,18,2022-01-09,PIT,BAL,BAL,PIT,17.0,2.1158783,0.7777777777777778,3.0,6.0,PIT 28,Field goal,3.0
2022_02_CHI_GB,2022,2,2022-09-18,CHI,GB,GB,CHI,11.0,-1.3832331,0.4,7.0,7.0,CHI 22,Punt,0.0
2022_01_LV_LAC,2022,1,2022-09-11,LV,LAC,LAC,LV,19.0,3.6838837,0.5,13.0,19.0,LV 39,Touchdown,6.0
2022_04_WAS_DAL,2022,4,2022-10-02,WAS,DAL,DAL,WAS,6.0,-1.915565,0.2222222222222222,0.0,0.0,WAS 25,Punt,0.0
2022_03_DAL_NYG,2022,3,2022-09-26,NYG,DAL,NYG,DAL,8.0,-1.224824,0.375,3.0,3.0,NYG 20,Turnover on downs,0.0
2022_12_GB_PHI,2022,12,2022-11-27,GB,PHI,PHI,GB,6.0,3.6541796,0.5,7.0,14.0,PHI 37,Touchdown,7.0
2022_03_BAL_NE,2022,3,2022-09-25,NE,BAL,NE,BAL,6.0,-3.7364361,0.2857142857142857,3.0,3.0,NE 41,Turnover on downs,0.0
2022_12_CIN_TEN,2022,12,2022-11-27,CIN,TEN,TEN,CIN,13.0,0.0,0.0,10.0,10.0,CIN 25,End of half,0.0
2022_05_PIT_BUF,2022,5,2022-10-09,BUF,PIT,BUF,PIT,16.0,-1.7989397,0.7272727272727273,31.0,31.0,BUF 20,Turnover,0.0
2022_06_ARI_SEA,2022,6,2022-10-16,SEA,ARI,SEA,ARI,10.0,2.2505643,0.75,6.0,9.0,SEA 32,Field goal,3.0
2022_04_CHI_NYG,2022,4,2022-10-02,NYG,CHI,NYG,CHI,7.0,5.8690805,0.6666666666666666,7.0,14.0,NYG 25,Touchdown,7.0
2021_14_DET_DEN,2021,14,2021-12-12,DET,DEN,DEN,DET,10.0,-4.6828666,0.3333333333333333,10.0,10.0,DET 25,Turnover,0.0
2021_17_MIA_TEN,2021,17,2022-01-02,TEN,MIA,TEN,MIA,19.0,-0.010354817,0.375,24.0,27.0,MIA 44,Field goal,3.0
2022_07_PIT_MIA,2022,7,2022-10-23,PIT,MIA,MIA,PIT,6.0,1.7708732,0.2857142857142857,0.0,3.0,PIT 25,Field goal,3.0
2022_09_LAC_ATL,2022,9,2022-11-06,ATL,LAC,ATL,LAC,7.0,-2.7818828,0.0,10.0,10.0,ATL 25,Punt,0.0
2022_11_DAL_MIN,2022,11,2022-11-20,MIN,DAL,MIN,DAL,20.0,-0.054397225,0.375,3.0,3.0,MIN 2,End of half,0.0
2021_18_CAR_TB,2021,18,2022-01-09,CAR,TB,TB,CAR,17.0,-5.2182198,0.0,17.0,17.0,CAR 25,Turnover,0.0
2022_12_HOU_MIA,2022,12,2022-11-27,MIA,HOU,MIA,HOU,2.0,0.89571846,0.4,0.0,3.0,MIA 34,Field goal,3.0
2022_05_SF_CAR,2022,5,2022-10-09,SF,CAR,CAR,SF,7.0,-0.9743868,0.1428571428571428,10.0,10.0,SF 25,Punt,0.0
2022_11_CAR_BAL,2022,11,2022-11-20,CAR,BAL,BAL,CAR,18.0,-4.685317,0.2,3.0,3.0,CAR 40,Turnover on downs,0.0
2021_14_NYG_LAC,2021,14,2021-12-12,LAC,NYG,LAC,NYG,6.0,5.38789,0.6153846153846154,7.0,14.0,LAC 40,Touchdown,7.0
2022_12_TB_CLE,2022,12,2022-11-27,TB,CLE,CLE,TB,14.0,-2.078484,0.25,17.0,17.0,TB 11,Punt,0.0
2021_14_CHI_GB,2021,14,2021-12-12,GB,CHI,GB,CHI,14.0,2.3317919,1.0,28.0,35.0,CHI 23,Touchdown,7.0
2021_15_GB_BAL,2021,15,2021-12-19,GB,BAL,BAL,GB,14.0,-0.9037287,0.4,28.0,31.0,BAL 29,Field goal,3.0
2022_09_LV_JAX,2022,9,2022-11-06,JAX,LV,JAX,LV,6.0,-2.3642468,0.2,0.0,0.0,JAX 25,Punt,0.0
2022_11_PHI_IND,2022,11,2022-11-20,PHI,IND,IND,PHI,2.0,-2.7405665,0.2857142857142857,0.0,0.0,PHI 25,Punt,0.0
2021_15_NYJ_MIA,2021,15,2021-12-19,MIA,NYJ,MIA,NYJ,11.0,0.0,0.0,10.0,10.0,MIA 3,End of half,0.0
2022_07_TB_CAR,2022,7,2022-10-23,TB,CAR,CAR,TB,9.0,-0.2946943,0.2,0.0,0.0,TB 23,End of half,0.0
2022_13_BUF_NE,2022,13,2022-12-01,NE,BUF,NE,BUF,9.0,-2.4272792,0.0,7.0,7.0,NE 15,Punt,0.0
2022_06_NYJ_GB,2022,6,2022-10-16,GB,NYJ,GB,NYJ,9.0,-3.4851065,0.4,0.0,0.0,NYJ 36,Punt,0.0
2022_03_LA_ARI,2022,3,2022-09-25,ARI,LA,ARI,LA,5.0,-2.1611834,0.1666666666666666,0.0,0.0,ARI 25,Punt,0.0
2022_13_IND_DAL,2022,13,2022-12-04,DAL,IND,DAL,IND,11.0,-1.8383777,0.2,14.0,14.0,DAL 25,Punt,0.0
2022_09_TEN_KC,2022,9,2022-11-06,TEN,KC,KC,TEN,10.0,0.0,0.0,14.0,14.0,TEN 9,End of half,0.0
2022_11_NYJ_NE,2022,11,2022-11-20,NYJ,NE,NE,NYJ,11.0,-2.4398434,0.4,3.0,3.0,NYJ 34,Punt,0.0
2022_10_WAS_PHI,2022,10,2022-11-14,WAS,PHI,PHI,WAS,17.0,-1.51808,0.2,26.0,26.0,WAS 27,Punt,0.0
2022_02_SEA_SF,2022,2,2022-09-18,SF,SEA,SF,SEA,5.0,6.254019,0.8333333333333334,6.0,13.0,SF 22,Touchdown,7.0
2022_03_GB_TB,2022,3,2022-09-25,TB,GB,TB,GB,21.0,-1.3819938,0.4,6.0,6.0,TB 25,Punt,0.0
2022_03_GB_TB,2022,3,2022-09-25,TB,GB,TB,GB,5.0,-2.9233825,0.0,3.0,3.0,TB 25,Punt,0.0
2022_12_BAL_JAX,2022,12,2022-11-27,BAL,JAX,JAX,BAL,15.0,2.8579369,0.5555555555555556,12.0,19.0,JAX 25,Touchdown,7.0
2022_11_KC_LAC,2022,11,2022-11-20,KC,LAC,LAC,KC,9.0,-2.9506407,0.2,13.0,13.0,KC 6,Punt,0.0
2022_06_TB_PIT,2022,6,2022-10-16,PIT,TB,PIT,TB,14.0,-1.5260408,0.2222222222222222,13.0,13.0,PIT 25,Punt,0.0
2022_04_WAS_DAL,2022,4,2022-10-02,DAL,WAS,DAL,WAS,7.0,-2.527224,0.25,6.0,6.0,DAL 16,Punt,0.0
2022_03_KC_IND,2022,3,2022-09-25,IND,KC,IND,KC,15.0,1.4738277,0.5454545454545454,10.0,13.0,IND 25,Field goal,3.0
2022_09_CAR_CIN,2022,9,2022-11-06,CIN,CAR,CIN,CAR,3.0,-2.6539953,0.0,7.0,7.0,CIN 30,Punt,0.0
2022_12_GB_PHI,2022,12,2022-11-27,GB,PHI,PHI,GB,15.0,-1.361105,0.4,20.0,20.0,GB 47,Punt,0.0
2022_04_NE_GB,2022,4,2022-10-02,NE,GB,GB,NE,5.0,-2.4235604,0.0,3.0,3.0,NE 8,Punt,0.0
2022_03_LA_ARI,2022,3,2022-09-25,ARI,LA,ARI,LA,9.0,1.048842,0.45,0.0,3.0,ARI 30,Field goal,3.0
2021_14_BAL_CLE,2021,14,2021-12-12,CLE,BAL,CLE,BAL,1.0,-2.8493714,0.0,0.0,0.0,CLE 23,Punt,0.0
2022_05_CIN_BAL,2022,5,2022-10-09,BAL,CIN,BAL,CIN,17.0,2.9581976,0.4705882352941176,13.0,16.0,BAL 2,Field goal,3.0
2022_09_BUF_NYJ,2022,9,2022-11-06,NYJ,BUF,NYJ,BUF,8.0,6.036247,0.6666666666666666,3.0,10.0,NYJ 25,Touchdown,7.0
