game_id,posteam,fixed_drive,order_sequence,ydstogo,yardline_100,game_seconds_remaining,field_goal_attempt,punt_attempt,kick_distance,epa,wp,season,week,game_date,home_team,away_team,defteam,decision,drive_epa,drive_success_rate,drive_posteam_score_start,drive_posteam_score_end,drive_start_yard_line,fixed_drive_result,drive_points,epa_per_drive_roll6,success_rate_roll6,points_per_drive_roll6,ydstogo_bin,yardline_bin,off_go_attempts,off_go_conv_rate,def_go_faced,def_go_stop_rate
2017_11_KC_NYG,KC,23.0,4171.0,7.0,62.0,366.0,0.0,1.0,52.0,0.119665794,0.3050818,2017,11,2017-11-19,NYG,KC,NYG,PUNT,-1.4218034,0.25,9.0,9.0,KC 22,Punt,0.0,0.81219095,0.4356608085143438,2.220202,6-10,61-80,,,,
2017_11_WAS_NO,WAS,21.0,4605.0,20.0,85.0,545.0,0.0,1.0,60.0,-0.09052765,0.2190715,2017,11,2017-11-19,NO,WAS,NO,PUNT,-3.4402285,0.0,31.0,31.0,WAS 25,Punt,0.0,-0.25359988,0.3460010207080171,1.9438616,11+,81-100,,,,
2017_14_IND_BUF,BUF,23.0,3919.0,1.0,41.0,253.0,0.0,1.0,31.0,-1.5941494,0.4467911,2017,14,2017-12-10,BUF,IND,IND,PUNT,-1.270289,0.2727272727272727,7.0,7.0,BUF 24,Punt,0.0,-0.85027003,0.3552218258949028,1.3876067,1,41-60,3.0,0.0,3.0,0.6666666666666667
2018_01_PIT_CLE,CLE,31.0,4648.0,1.0,66.0,530.0,0.0,1.0,49.0,-0.29280964,0.3730614,2018,1,2018-09-09,CLE,PIT,PIT,PUNT,-1.5516475,0.2,21.0,21.0,CLE 25,Punt,0.0,,,,1,61-80,,,,
2018_02_MIN_GB,MIN,23.0,4317.0,9.0,31.0,456.0,1.0,0.0,49.0,-3.5922754,0.74630636,2018,2,2018-09-16,GB,MIN,GB,FG,-3.0921812,0.375,29.0,29.0,MIN 30,Missed field goal,0.0,,,,6-10,21-40,1.0,1.0,,
2018_04_CLE_OAK,LV,36.0,5176.0,7.0,32.0,374.0,1.0,0.0,50.0,-2.651099,0.71069723,2018,4,2018-09-30,LV,CLE,CLE,FG,-2.5814092,0.25,42.0,42.0,LV 25,Missed field goal,0.0,,,,6-10,21-40,1.0,0.0,,
2018_04_HOU_IND,IND,26.0,5048.0,2.0,25.0,364.0,1.0,0.0,44.0,0.78350085,0.86505896,2018,4,2018-09-30,IND,HOU,HOU,FG,1.5438483,0.4285714285714285,31.0,34.0,IND 25,Field goal,3.0,,,,2,21-40,1.0,1.0,1.0,0.0
2018_04_PHI_TEN,PHI,23.0,4000.0,12.0,19.0,383.0,1.0,0.0,37.0,0.43099824,0.91918916,2018,4,2018-09-30,TEN,PHI,TEN,FG,2.0199714,0.6,20.0,23.0,PHI 25,Field goal,3.0,,,,11+,0-20,,,,
2018_05_BAL_CLE,CLE,26.0,4390.0,4.0,69.0,483.0,0.0,1.0,56.0,0.83608484,0.31227332,2018,5,2018-10-07,CLE,BAL,BAL,PUNT,-0.9890187,0.4,9.0,9.0,CLE 25,Punt,0.0,,,,3-5,61-80,,,1.0,1.0
2018_05_DAL_HOU,DAL,24.0,4211.0,1.0,42.0,340.0,0.0,1.0,32.0,-1.608514,0.51195407,2018,5,2018-10-07,HOU,DAL,HOU,PUNT,-1.2961011,0.4444444444444444,16.0,16.0,DAL 25,Punt,0.0,,,,1,41-60,7.0,0.5714285714285714,4.0,0.0
