game_id,posteam,fixed_drive,order_sequence,down,ydstogo,yardline_100,game_seconds_remaining,score_differential,field_goal_attempt,punt_attempt,kick_distance,epa,wp,season,week,game_date,home_team,away_team,defteam,first_ot_drive,decision
2018_05_BAL_CLE,CLE,26.0,4390.0,4.0,4.0,69.0,483.0,0.0,0.0,1.0,56.0,0.83608484,0.31227332,2018,5,2018-10-07,CLE,BAL,BAL,26.0,PUNT
2018_05_DAL_HOU,DAL,24.0,4211.0,4.0,1.0,42.0,340.0,0.0,0.0,1.0,32.0,-1.608514,0.51195407,2018,5,2018-10-07,HOU,DAL,HOU,24.0,PUNT
2018_07_CLE_TB,CLE,26.0,4445.0,4.0,6.0,71.0,531.0,0.0,0.0,1.0,54.0,0.7736287,0.29880902,2018,7,2018-10-21,TB,CLE,TB,26.0,PUNT
2018_13_CHI_NYG,NYG,27.0,5010.0,4.0,6.0,26.0,360.0,0.0,1.0,0.0,44.0,0.9860747,0.82400197,2018,13,2018-12-02,NYG,CHI,CHI,27.0,FG
2018_14_BAL_KC,KC,20.0,4743.0,4.0,15.0,17.0,286.0,0.0,1.0,0.0,35.0,0.34053397,0.12877393,2018,14,2018-12-09,KC,BAL,BAL,20.0,FG
2018_14_PHI_DAL,DAL,24.0,4788.0,4.0,1.0,19.0,241.0,0.0,0.0,0.0,43.406976744186046,1.4502963,0.7870956,2018,14,2018-12-09,DAL,PHI,PHI,24.0,GO
2018_15_SEA_SF,SEA,24.0,4613.0,4.0,6.0,82.0,456.0,0.0,0.0,1.0,59.0,-0.4343306,0.23003785,2018,15,2018-12-16,SF,SEA,SF,24.0,PUNT
2019_01_DET_ARI,ARI,28.0,5194.0,4.0,10.0,10.0,441.0,0.0,1.0,0.0,28.0,0.14228244,0.9745161,2019,1,2019-09-08,ARI,DET,DET,28.0,FG
2019_05_BAL_PIT,BAL,22.0,4364.0,4.0,14.0,79.0,503.0,0.0,0.0,1.0,47.0,0.15674365,0.23612443,2019,5,2019-10-06,PIT,BAL,PIT,22.0,PUNT
2019_16_CIN_MIA,MIA,26.0,5024.0,4.0,2.0,54.0,470.0,0.0,0.0,1.0,49.0,-0.011907136,0.38735208,2019,16,2019-12-22,MIA,CIN,CIN,26.0,PUNT
2020_02_KC_LAC,LAC,19.0,4378.0,4.0,1.0,66.0,477.0,0.0,0.0,1.0,61.0,-1.1732094,0.4049251,2020,2,2020-09-20,LAC,KC,KC,19.0,PUNT
2020_03_CIN_PHI,CIN,22.0,4446.0,4.0,4.0,57.0,480.0,0.0,0.0,1.0,46.0,0.018301336,0.35156143,2020,3,2020-09-27,PHI,CIN,PHI,22.0,PUNT
