game_id,season,week,game_date,home_team,away_team,posteam,defteam,qtr,game_seconds_remaining,yardline_100,ydstogo,score_differential,roof,temp,wind,shotgun,no_huddle,epa,wp,decision,kick_distance,punt_attempt,field_goal_attempt,drive,fixed_drive,order_sequence,play_id,ydstogo_bin,yardline_bin,go_conv_rate,go_attempts,go_stop_rate,go_faced,epa_per_drive_roll6,success_rate_roll6,points_per_drive_roll6
2023_07_BUF_NE,2023,7,2023-10-22,NE,BUF,NE,BUF,3.0,1174.0,31.0,15.0,3.0,outdoors,55.0,13.0,0.0,0.0,1.6100543,0.6970363,FG,49.0,0.0,1.0,12.0,12.0,2483.0,2483.0,11+,21-40,,,1.0,3.0,0.87738127,0.4465694372751593,2.6195285
2023_09_NYG_LV,2023,9,2023-11-05,LV,NYG,NYG,LV,4.0,146.0,59.0,9.0,-24.0,dome,,,1.0,1.0,-2.7220528,0.00024104817,GO,43.65204991087344,0.0,0.0,23.0,23.0,3675.0,3675.0,6-10,41-60,0.4,5.0,1.0,1.0,-1.0144907,0.3449236542132413,1.4503368
2023_10_DEN_BUF,2023,10,2023-11-13,BUF,DEN,DEN,BUF,4.0,4.0,18.0,11.0,-1.0,outdoors,49.0,10.0,0.0,0.0,0.29229376,0.6552544,FG,36.0,0.0,1.0,23.0,23.0,4503.0,4503.0,11+,0-20,0.0,1.0,,,0.61811453,0.4168044538485597,2.3173401
2023_15_HOU_TEN,2023,15,2023-12-17,TEN,HOU,HOU,TEN,3.0,1290.0,9.0,6.0,-10.0,outdoors,48.0,9.0,0.0,0.0,0.098288745,0.19354527,FG,27.0,0.0,1.0,10.0,10.0,2335.0,2335.0,6-10,0-20,1.0,1.0,,,-0.088970415,0.359558244345826,1.5338482
2022_16_WAS_SF,2022,16,2022-12-24,SF,WAS,WAS,SF,1.0,3514.0,84.0,11.0,0.0,outdoors,54.0,2.0,0.0,0.0,0.46128586,0.3422974,PUNT,62.0,1.0,0.0,1.0,1.0,164.0,164.0,11+,81-100,,,,,0.39670536,0.4296745167010318,2.3179553
2022_16_WAS_SF,2022,16,2022-12-24,SF,WAS,WAS,SF,1.0,3121.0,88.0,13.0,0.0,outdoors,54.0,2.0,0.0,0.0,-0.3407835,0.33259532,PUNT,52.0,1.0,0.0,3.0,3.0,541.0,541.0,11+,81-100,,,,,0.39670536,0.4296745167010318,2.3179553
2022_18_DAL_WAS,2022,18,2023-01-08,WAS,DAL,DAL,WAS,1.0,3287.0,82.0,17.0,-7.0,outdoors,42.0,7.0,0.0,0.0,0.19441473,0.18487157,PUNT,50.0,1.0,0.0,3.0,3.0,382.0,382.0,11+,81-100,,,1.0,1.0,-0.45407978,0.3558045386471091,1.5102824
2022_18_DAL_WAS,2022,18,2023-01-08,WAS,DAL,DAL,WAS,3.0,1241.0,88.0,12.0,-7.0,outdoors,42.0,7.0,0.0,0.0,0.23670033,0.1526283,PUNT,47.0,1.0,0.0,20.0,20.0,2748.0,2748.0,11+,81-100,,,1.0,1.0,-0.45407978,0.3558045386471091,1.5102824
2023_01_MIA_LAC,2023,1,2023-09-10,LAC,MIA,LAC,MIA,3.0,1045.0,99.0,13.0,4.0,dome,,,0.0,0.0,-0.6699848,0.6293161,PUNT,34.0,1.0,0.0,14.0,14.0,3178.0,3178.0,11+,81-100,1.0,1.0,1.0,1.0,,,
2023_01_TB_MIN,2023,1,2023-09-10,MIN,TB,TB,MIN,2.0,2661.0,83.0,3.0,3.0,dome,,,0.0,0.0,1.0248768,0.5672642,PUNT,63.0,1.0,0.0,8.0,8.0,1153.0,1153.0,3-5,81-100,,,,,,,
